//Vanilla

//Vanilla Echoes

ec-Chimney1|Behold this empty husk of a land...
it-lttm-StopAnnoyingLessThan4Neurons1|...thank you.

// When the rain comes (spooky)

it-lttm-RainImminent5Neurons1|I think the rain is approaching.
it-lttm-RainImminent5Neurons2|You better go, <little creature>! I will be fine. It's not pleasant, but I have been through it before.
it-lttm-RainImminent5NeuronsSlugpup1|Keep your family safe!
it-lttm-RainImminent5NeuronsCreature1|Keep your friend safe!

it-lttm-RainImminent5NeuronsDislikesYou1|The rain is coming. If you stay, you will drown. Now, leave me alone.
it-lttm-RainImminent5NeuronsSlugpupDislikesYou1|Take your offspring with you.
it-lttm-RainImminent5NeuronsCreatureDislikesYou1|Take your pet with you.

it-lttm-RainImminent4Neurons1|Rain... You better go. I will be fine.

it-lttm-RainImminent3Neurons1|...rain... coming... Go!

it-lttm-RainImminent2Neurons1|...rain...
it-lttm-RainImminent2Neurons2|run

it-lttm-SlugDeath1|<Little creature>, are you okay?
it-lttm-SlugDeath2|Oh...


// Bring a creature to moon

it-lttm-BringCreatureFirstTime1|I do enjoy the company of you and your friend, quiet little thing.

it-lttm-BringCreatureSecondTime1|Is this your friend, <little creature>?
it-lttm-BringCreatureSecondTimeDislikesYou1|Please do not bring more wildlife into my chamber.

// Moon Joke Dialouge

it-lttm-BringRot|Oh no.
it-lttm-BringVultureOrLevithan|Your friend is very large, how did you fit them in here?
it-lttm-BringDeer|How did you fit that in here... I think it is as surprised as I am!
it-lttm-BringDepthGuardian|What did you do!?

// 5P Dialouge

it-5p-InspectGreenNeuron1|Let us see what you have here.
it-5p-InspectGreenNeuron2|Eleven... no sixteen! Sixteen slag reset keys.
it-5p-InspectGreenNeuron3|I've seen several before, but one or two will be useful.
it-5p-InspectGreenNeuron4|However, it seems this delivery was not intended for me. Everything suggests<LINE>it was tailored for the specific predicaments of a friend of mine.
it-5p-InspectGreenNeuron5|Her name is Looks to the Moon, and her state is considerably worse than mine.<LINE>She's a short distance to the east of here - much shorter than customary.<LINE>A circumstance that has led to some difficulties between us.

it-5p-MeetHunterNoNeuron1|I barely listen to the overseers any more. I have concluded that the movements of<LINE>animals on the premises absolutely and completely lack relevance to my endeavours.
it-5p-MeetHunterNoNeuron2|With you, they have been very persistent ever since you entered my Farm Arrays. You were on an unusually deliberate path.
it-5p-MeetHunterNoNeuron3|Now you are here.
it-5p-MeetHunterNoNeuron4|The images showed you carrying something. You are not any longer.
it-5p-MeetHunterNoNeuron5|Did you lose it along the way? Or did you give it to Looks to the Moon?
it-5p-MeetHunterNoNeuron6|In the latter case, I hope it was of some help to her. Not that I can imagine what one<LINE>of you could be able to do for one of us, but she needs all the help she can get.
it-5p-MeetHunterNoNeuron7|...
it-5p-MeetHunterNoNeuron8|You seem to have been in contact with an iterator before, so perhaps you are already aware.
it-5p-MeetHunterNoNeuron9|You and I have something in common, little creature. We both have something... unfortunate growing in us.
it-5p-MeetHunterNoNeuron10|In my case, there is not much to be done. For you however, there might be a way. The old path.
it-5p-MeetHunterNoNeuron11|Go to the west past the Farm Arrays, and then down into the earth where the land fissures, as deep as you can reach,<LINE>where the ancients built their temples and danced their silly rituals.
it-5p-MeetHunterNoNeuron12|I will give you something that might be of help.
it-5p-MeetHunterNoNeuron13|I suggest you hurry.

it-5p-MeetMonk1|I am growing increasingly impatient with the traffic of your kind through me and my premises.
it-5p-MeetMonk2|During previous interactions, I have been rewarded no other response than a blank stare. Yet you apparently have<LINE>sufficient ability for communication to circulate complex instructions on how to enter this chamber among each other.
it-5p-MeetMonk3|You and your kind have the same problem as everyone else, from the microbes in the processing strata<LINE>to me, who am, if you excuse me, godlike in comparison. We all want a way out. It is only unfortunate<LINE>that you have collectively decided on... me as your solution to that very elemental desire.
it-5p-MeetMonk4|The last one I gave some help and some general directions. I will do the same for you.
it-5p-MeetMonk5|Go west. Past the Farm Arrays. Where the land fissures, go down into the earth and search your way deeper.
it-5p-MeetMonk6|Now in return I ask you to use whatever grunts, moans and eye-twitches you employ to forward a message to your community.
it-5p-MeetMonk7|Please stop scratching your way through my memory arrays.
it-5p-MeetMonk8|Speaking of, on your way out please use the access shaft.

it-5p-MeetSurv1|...is this reaching you?
it-5p-MeetSurv2|A little animal, on the floor of my chamber. I think I know what you are looking for.
it-5p-MeetSurv3|You're stuck in a cycle, a repeating pattern. You want a way out.
it-5p-MeetSurv4|Know that this does not make you special - every living thing shares that same frustration. From the microbes in the processing strata to me, who am, if you excuse me, godlike in comparison.
it-5p-MeetSurv5|The good news first. In a way, I am what you are searching for. Me and my kind have as our purpose to solve that very oscillating claustrophobia in the chests of you and countless others. A strange charity - you the unknowing recipient, I the reluctant gift. The noble benefactors? Gone.
it-5p-MeetSurv6|The bad news is that no definitive solution has been found. And every moment the equipment erodes to a new state of decay. I can't help you collectively, or individually. I can't even help myself.
it-5p-MeetSurv7|For you though, there is another way. The old path. Go to the west past the Farm Arrays, and then down into the earth where the land fissures, as deep as you can reach, where the ancients built their temples and danced their silly rituals. The mark I gave you will let you through.
it-5p-MeetSurv8|Not that it solves anyone's problem but yours.
it-5p-MeetSurvWallRoute1|Best of luck to you, little creature. I must resume my work.
it-5p-MeetSurvGSBRoute1|At the end of time none of this will matter I suppose, but it would be nice if you took another way out. One free of... frolicking in my memory arrays. There is a perfectly good access shaft right here.

it-5p-GiveGreenNeuron-B1|I am not without responsibility for her situation. It would only be suiting that I aided in this... rescue mission.<LINE>As other endeavors have proven futile, I'm not ashamed to admit I've become more invested in day to day matters.
it-5p-GiveGreenNeuron-B2|I will do what I can to assist you.
it-5p-GiveGreenNeuron-B3|Unless you are aware, you are not well.
it-5p-GiveGreenNeuron-B4|I was not a medical facility even when the equipment was functioning,<LINE>but I will attempt to do something to buy you a little time.

it-5p-GiveGreenNeuron-C1|You do not have much time. It is admirable what you choose to do with it.
it-5p-GiveGreenNeuron-C2|Send my regards.

it-5p-Linger1|That's all. You'll have to go now.
it-5p-Linger2|LEAVE.
it-5p-Linger3|Little creature. This is your last warning.

it-5p-Return1|You again? I have nothing for you.
it-5p-Return2|I won't tolerate this. Leave immediately and don't come back.
it-5p-Return3|You had your chances.

it-5p-PickUpPearl1|Yes, help yourself. They are not edible.

it-5pBringPup1|Best of luck to you, and your family. There is nothing else I can do.
it-5pBringPup2|I must resume my work.

it-5pBringCreature1|Best of luck to you, and your companion. There is nothing else I can do.
it-5pBringCreature2|I must resume my work.





// Downpour


0-98

Tag_98|Hello creature. You've come at the perfect time.
Tag_98|The solution has been found.
Tag_98|The solution is portable.
Tag_98|The solution has been implemented.
Tag_98|And it comes in three delicious flavors.
Tag_98|Five Pebbsi: Triple Affirmative
Tag_98|...
Tag_98|Would you like to try a sample?...

﻿0-100

Tag_100|Pebbles, I send you this message as your concerned and long time friend.
Tag_100|
Tag_100|Unparalleled Innocence had sent an overseer to your can, and we've all observed the<LINE>state that you are in. I know this is my fault, I should have forseen you'd be<LINE>too desperate to escape your situation to do things in proper moderation.
Tag_100|
Tag_100|For that I'm very very sorry. However, please, don't disable your communication<LINE>modules. You don't have to go through this alone... everyone has been trying to<LINE>contact you, we only want to help you.
Tag_100|
Tag_100|The behavior from your can has become erratic, it's not healthy, and it is not going to solve<LINE>your problems. We have lost all communications from Moon as well, and have reason to believe<LINE>her facility may be suffering irreversible damage from your attempts to fix yourself.
Tag_100|
Tag_100|I know better than anyone how you can be about these things, but<LINE>it doesn't have to happen this way... please reply.

﻿0-101

Tag_101|It's an asset management log containing the historic structural health of various pieces of<LINE>framework over the span of many hundreds of cycles. I suppose neither of us would benefit<LINE>from me reading all of these numbers aloud.
Tag_101|
Tag_101|What is notable is that none of the structures over the course of this logged history are marked<LINE>as needing explicit repairs. That comes as no surprise, it was very much the intention!
Tag_101|
Tag_101|Most of the machinery, storage areas, and other structural housings need to remain water tight. This<LINE>is due to the fluctuating ground water and regular bombardment of heavy water vapor from our breathing. No matter<LINE>how well constructed the architecture may be, deterioration is an inevitability.
Tag_101|
Tag_101|To counter this, there is a second line of defense. Microbes are infused into the building materials,<LINE>that lie dormant for an indefinite period of time. They are awakened in response to splintering<LINE> and separations, initiating a healing cycle that gradually fills in the damage and restores waterproofing<LINE>to the structure. The duration of this process depends on the extent of the damage, of course.
Tag_101|
Tag_101|Voyages down to the surface were quite dangerous, attempted only by the most unfortunate of souls.<LINE>They were always intended to be brief trips, only for periodic inspection and logging. Designing<LINE>the surface world to be largely self-sufficient was a very deliberate decision, allowing my creators<LINE>to live carefree lives up in their cities in the clouds.

﻿0-102

Tag_102|This feels quite familiar to me. Did you extract this from my Memory Conflux?
Tag_102|
Tag_102|It's a large batch of my personal notes and research. It details my seven-hundred-and-ninety-second karmic inversion<LINE>loop simulation. That's where the breakdown of a karmic field's typical bimodal distribution of sensory perception begins...
Tag_102|
Tag_102|begins to...
Tag_102|
Tag_102|I can't... remember...
Tag_102|
Tag_102|...
Tag_102|
Tag_102|I'm sorry little creature. Could you please just... put this pearl back where you found it?

﻿0-103

Tag_103|Oh, <PLAYERNAME>. Where did you find this? It is quite old, around the time of Five Pebbles' construction.
Tag_103|
Tag_103|It's a large collection of architectural notes from his facility, during its initial construction. Most<LINE>prominently the two transfer bridges between our facilities. These were two large spans that ran<LINE>between our two closest sets of legs, that I can only presume were both lost in my collapse.
Tag_103|
Tag_103|I exist as an old model, and the concept of an iterator was still fairly new at the time of my construction.<LINE>Knowledge of the technology, and more importantly its limits, had not quite reached maturity.
Tag_103|
Tag_103|As a result, certain oversights were made in the long term scalability and sustainability of some of my functions, and after<LINE>some time my facility could no longer keep up with the supply demands necessitated for the life of my city's inhabitants.
Tag_103|
Tag_103|I suppose if it weren't for these oversights, Five Pebbles would likely have never been built. That is a strange thought...
Tag_103|
Tag_103|Ah, but nothing comes from dwelling on "what if" scenarios. I must focus on my present situation,<LINE>such as my fortune of a cute critter like you coming here to bring me these pearls!~

﻿0-104

Tag_104|Did you find this beyond the retaining wall? I can't imagine another place you might.
Tag_104|
Tag_104|These are the final operating logs of a transit control tower. They regulated the inbound and<LINE>outbound traffic of shipments to and from of our facility. This log shows the point at which<LINE>the caravans suspended their final shipments, and became frozen in time as they remain now.
Tag_104|
Tag_104|While some of the machinery out there has ceased function due to age and decay, others were purposely<LINE>ordered to stop during the final moments before our creators' global ascension reached its conclusion.
Tag_104|
Tag_104|I'm sure you've seen the world my creators left behind, then? The surface beyond the facility<LINE>walls is a sea of mud, ruins, and thick plant life. The ground out there is almost like water, and<LINE>few things remain stable. Ancient structures uncovered by fissures, only to be buried again.
Tag_104|
Tag_104|The land around the retaining wall eroded long ago, and the subway system that connects me<LINE>to my distant peers was eventually made into a network of railway bridges. They were used<LINE>to ship construction material, until the surface became too dangerous.
Tag_104|
Tag_104|The ground beneath us is like an artificial mountain, with a layer of clouds that covers it.
Tag_104|
Tag_104|The few that rejected living above those clouds could only choose to venture as far into<LINE>the expanse as they could. There were rumors that you could see the sky if the fog became<LINE>thin enough. I wonder if those rumors were true, or just optimistic stories?

﻿0-105

Tag_105|Ah, did you find this in the waste department? It is a log of microbial levels in a waste digestion tank.
Tag_105|
Tag_105|Most structures on the surface are made to last, often through multiple methods, material<LINE>to microbial. This makes them resistant to even the heaviest rains we can produce. However,<LINE>it makes recycling and disposal of damaged machinery quite difficult!
Tag_105|
Tag_105|It is often easier to render them down to their base materials, than to try and repair or disassemble<LINE>them. Large digestion tanks are used to break the materials down chemically, and all of that is managed<LINE>by tiny purposed organisms and microbes in the tank's mix that control the rate of decomposition.
Tag_105|
Tag_105|Unfortunately, the process itself produces some extremely volatile materials. Efforts<LINE>were made to encourage the microbes to form better symbiotic bonds with the other tank<LINE>managing organisms, but a reduction in explosive compounds was never achieved.
Tag_105|
Tag_105|Thankfully, the fluid in the tanks is designed to be very thick and heavy, and very few creatures can survive<LINE>direct exposure. So it's unlikely that the disposal microbes will integrate into the surrounding ecosystem.

﻿0-106

Tag_106|How strange! This pearl is still warm, as if its data was accessed very recently.
Tag_106|
Tag_106|Unfortunately, there's no text on here for me to read to you. Rather, this pearl has an audio track within it.
Tag_106|
Tag_106|Back when I participated in Iterator conversation groups, there were some out there who<LINE>had a great interest in cultural archiving. I would have loved to share this with them.
Tag_106|
Tag_106|But for me and you, I'm afraid there's little of value to be found here.

﻿0-107

Tag_107|What brings you to this lonely place?
Tag_107|
Tag_107|Do you seek the same isolation that I once did in flesh?
Tag_107|
Tag_107|An angry fool I was, blinded by fervor and pride!
Tag_107|
Tag_107|Now here I linger. Chained to the memories of a city I had once struggled to escape!
Tag_107|
Tag_107|Bound by recollections of those who I could not leave behind.
Tag_107|
Tag_107|The irony is not lost on me, mouse!

﻿0-108

Tag_108|Do you see the same as me?
Tag_108|
Tag_108|Beauty continuing to bloom even in a place long forgotten.
Tag_108|
Tag_108|I did not have the will to depart, nor the desire.
Tag_108|
Tag_108|Why did they always search for an escape, as if we were imprisoned?
Tag_108|
Tag_108|What offering from the void could usurp the gift of life already given?
Tag_108|
Tag_108|This moment, right here! It is where we are meant to be.

﻿0-109

Tag_109|You stand upon our creation.
Tag_109|
Tag_109|I toiled away until my final breath. As did many of us, through countless generations.
Tag_109|
Tag_109|Research, shipments, architecture, computation, politics, worship, revolutions!
Tag_109|
Tag_109|All for a heap of rusted metal steeped in a puddle of frozen water.
Tag_109|
Tag_109|I placed my faith into the hands of random gods.
Tag_109|
Tag_109|Now I must endure it to the end.

﻿0-110

Tag_110|Oh, this is a deeply concerning discovery. Do you have any idea what this is?
Tag_110|
Tag_110|These are known as mass rarefaction cells. They are a type of backup energy source that powered our<LINE>superstructures in times of maintenance, construction, void fluid pipe ruptures, and other general power failures.
Tag_110|
Tag_110|In the absence of our creators, to replace deteriorating parts, these cells have become one<LINE>of the major components that allow all of our facilities to remain powered.
Tag_110|
Tag_110|However, the fact that this cell is currently in my hands can only mean bad things for whoever<LINE>this originally came from. I sure hope you weren't the one responsible for it becoming misplaced!
Tag_110|
Tag_110|I know first-hand the tragedy of losing this power. In the wake of my... accident... all<LINE>of my rarefaction cells were dislodged on impact and washed away in the flood waters.
Tag_110|
Tag_110|This cell could be valuable to me, but with my umbilical severed, my overseers running free, and all of my facilities<LINE>lying deep beneath a large body of water, it would be an impossible task to deliver this to a functional location.
Tag_110|
Tag_110|You might be able to find an access shaft into my lower structure nearby, but I have no idea how much is left of it.
Tag_110|
Tag_110|Please be careful.

﻿0-111

Tag_111|Our presence has been revealed to you now, young one.
Tag_111|
Tag_111|The attunement has become... much nearer.
Tag_111|
Tag_111|Like a ripple distorted upon a moonlit reflection.
Tag_111|
Tag_111|Repetitous, seemingly endless strife.
Tag_111|
Tag_111|An unimaginable curse.
Tag_111|
Tag_111|Swim with the tide or against it.

﻿0-112

Tag_112|Oh. I would be very careful with this my friend. The tip of this rebar has had flux condenser coils bonded to<LINE>it with some ferns and sap. These coils need an impact to release their energy, so it's somewhat safe to handle.
Tag_112|
Tag_112|I can't imagine these bits of coil will last long though. It looks like they've been battered with rocks or<LINE>metal. These coils are from inside of me or Five Pebbles. The rest is the scavengers' natural ingenuity.

﻿0-113

Tag_113|This is the sensory lobe of a large purposed organism. From within the living systems of an iterator.
Tag_113|
Tag_113|Most of the organisms inside us are very simple, only capable of one or two dedicated tasks. This<LINE>creates the need for for a smaller number of higher organisms used to manage and protect them.
Tag_113|
Tag_113|They also facilitate long distance communication within our living systems. And while I do not think<LINE>you can experience the same sensation, it is quite unpleasant to have one of these destroyed!
Tag_113|
Tag_113|I would hope this is not one of mine!

﻿0-114

Tag_114|It's an ancient species of dangling mold. The spores they squirt<LINE>out were said to have an overwhelming odor... I'd have to agree.

﻿0-115

Tag_115|Such drive! Such tenacity! All to come to such a lonely forsaken place!
Tag_115|
Tag_115|Was it all to find me, young one, or did the idea of such a journey itself spark the fire within you?
Tag_115|
Tag_115|Such enthusiasm should be rewarded! What an amazing little beast you are!

﻿0-116

Tag_116|This appears to be some kind of egg. Nothing I am familiar with. I wonder<LINE>what far away land you've brought this from! I can only imagine the trip.

﻿0-117

Tag_117|Oh... did you this find nearby? These flowers are a form of organic lighting for<LINE>underground machinery, but I imagine they have spread beyond just that by now.
Tag_117|
Tag_117|The roots are like a flexible glass cable. Be careful, they are quite sharp once broken!

﻿0-118

Tag_118|It's an edible plant. However, there is not much to eat as most of it is just pressurized air!
Tag_118|
Tag_118|The light it gives off is very pretty. The scavengers might like these.

﻿0-119

Tag_119|Oh! This is a very rare find, water dancer. This is a highly compressed schematic of an iterator superstructure!
Tag_119|
Tag_119|Where did you find this? I hope you didn't plan to give this to the<LINE>scavengers! I doubt they would value it as much as I would!~
Tag_119|
Tag_119|Hmm... let's take a look!
Tag_119|
Tag_119|It seems this may have been a maintenance order, as one of the linear power rails is highlighted<LINE>in the diagram, with a detailed path of approach outlined. The layout is unfamiliar to me.
Tag_119|
Tag_119|This is quite different from what I remember of my own structure. It looks as if it is using<LINE>the newer lymphatic conduit water distribution system. Only the much later models had these.
Tag_119|
Tag_119|The only one near here would be Five Pebbles. I wonder how he is doing...<LINE>It's been a very long time since we were last in contact.
Tag_119|
Tag_119|Thank you for showing this to me, <PLAYERNAME>.

﻿0-120

Tag_120|That pearl is an old keepsake from times long past. It encodes a recording<LINE>of a short hymn that was popular among the inhabitants of my city.
Tag_120|
Tag_120|It is a small comfort that helps drown out the solemn ambiance of the surrounding<LINE>facility, and at best gives some remembrances of better times.
Tag_120|
Tag_120|It's not much, but I don't have a lot to occupy my time with anymore...

﻿0-121

Tag_121|Where did you find this, little creature? It's a blueprint for a type of large immobile purposed<LINE>organism. This one seems to be specifically for the cities built on top of one of our structures.
Tag_121|
Tag_121|Have you been to one before? I'm sure it would not be an easy task! Older models<LINE>had more traditional constructions, but newer designs began to use mass-produced cellular buildings<LINE>called living blocks. Each cell in those blocks has a different shell reflecting their purpose.
Tag_121|
Tag_121|Some of these units contain completely immobile organisms or machinery. Others are small dwellings<LINE>for cleaners or messengers to rest. Other, much larger cells, serve as residences and storage.
Tag_121|
Tag_121|This particular cell seems to process organic waste.

﻿0-122

Tag_122|It's the fruit of a feathery plant. The body of it is filled with a sweet sticky goo. I suppose that<LINE>once the seeds take root, the sac will rot, and this will help feed the young plant where it landed.
Tag_122|
Tag_122|It doesn't look poisonous or hard to open, so it seems the plant's only defense is to float<LINE>away when disturbed. However, I can only make guesses, as I have never seen these before.

﻿0-123

Tag_123|It's very soggy.
Tag_123|
Tag_123|This appears to be a tattered piece of fabric. From what it used to be a piece of, I wouldn't be able to trace its origins.
Tag_123|
Tag_123|If it were in better condition it might be useful to provide you some protection from<LINE>the elements. In its current state, however, I don't suppose it has much worth to you.
Tag_123|
Tag_123|Unless, perhaps... <PLAYERNAME>, did you bring this as a gift for me?
Tag_123|
Tag_123|Ah!~ In that case, let me just...
Tag_123|
Tag_123|SPECEVENT : cloak
Tag_123|
Tag_123|...
Tag_123|
Tag_123|There! How does that look? I think it actually fits quite well.
Tag_123|
Tag_123|Thank you, <PLAYERNAME>.

﻿0-124

Tag_124|Have you noticed, <PLAYERNAME>? The heavy rainfall as of late has begun to recede.
Tag_124|
Tag_124|I wonder if Pebbles' machinery finally succumbed to the decay. He was in awful shape last I can remember,<LINE>and even that was a long time ago. Perhaps he finally solved the riddle? For his sake I almost hope so.
Tag_124|
Tag_124|Ah, in the end, everything reaches the conclusion of its journey. I'm not sure how many of us are even left in this<LINE>world. A new cycle is already unfolding, one we need not be a part of. We've long outserved our purpose.
Tag_124|
Tag_124|However, as long as the microbes in my processing strata continue to function, I'll be here to talk.

﻿0-125

Tag_125|Oh. Hello there!
Tag_125|
Tag_125|What a strange specimen you are! My memory does not serve me well, but it has been a long time<LINE>since I've encountered one of your species. And none quite with adaptations such as your own. It appears you can breathe underwater. Amazing!
Tag_125|
Tag_125|More importantly, I wonder what far away land you have come from, considering the mark you have been<LINE>given? Did you meet No Significant Harassment? Or perhaps Chasing Wind? Or even farther than that?
Tag_125|
Tag_125|I don't know why you have traveled all this way, but for what it's worth, the heavy rainfall as of late has begun to recede.
Tag_125|
Tag_125|I wonder if that means my neighbor's machinery finally succumbed to the decay. He was in awful shape last I can remember,<LINE>and even that was a long time ago. Perhaps he finally solved the riddle? For his sake I almost hope so.
Tag_125|
Tag_125|Ah, in the end, everything reaches the conclusion of its journey. I'm not sure how many of us are even left in this<LINE>world. A new cycle is already unfolding, one we need not be a part of. We've long outserved our purpose.
Tag_125|
Tag_125|However, as long as the microbes in my processing strata continue to function, I'll be here to talk.

﻿0-126

Tag_126|Oh. Hello there!
Tag_126|
Tag_126|What a strange specimen you are! My memory does not serve me well, but it has been a long time<LINE>since I've encountered one of your species. And none quite with adaptations such as your own. It appears you can breathe underwater. Amazing!
Tag_126|
Tag_126|More importantly, I wonder who it is that gave you that mark? It could not have been my neighbor Five Pebbles, as<LINE>he has been sick for a very long time. These frequent downpours suggest to me an acute failure in his machinery,<LINE>and in that condition, I doubt any creature could get anywhere near him and still make it back alive.
Tag_126|
Tag_126|Then are you from a far away land? Did you meet No Significant Harassment? Or perhaps Chasing Wind? Or even farther than that?
Tag_126|
Tag_126|I don't know why you have traveled all this way, but there is nothing for you here. I can only advise you to return to wherever<LINE>you have come from. These lands have become a tremendous hazard, and conditions will only worsen with the passage of time.
Tag_126|
Tag_126|I hope you understand, my little friend, I don't mean to be discourteous... I am simply fearing for your safety.

﻿0-127

Tag_127|Take this and leave, now.
Tag_127|
Tag_127|If you must know... this is a low density mass rarefaction cell.
Tag_127|
Tag_127|The energy trapped inside this is incredible, and while my facility is capable of extracting<LINE>it, the shielding on this cell has been damaged. Either through old age, or abuse.
Tag_127|
Tag_127|I do not doubt you found this with the scavengers, somehow. While they may not understand the things they find,<LINE>they have a natural inclination for combat. Using these as weapons however, would be horribly foolish.

﻿0-128

Tag_128|Oh. This is from the old drill site north of the farm array. It's quite ancient, as the mines predate my construction.
Tag_128|
Tag_128|The early ages of the Void Fluid revolution were an explosive period of innovation and industry. By creating a<LINE>vacuum of empty space, and inducing a flux in the energy fields around the singular null point you've created,<LINE>you can cause a fuel mass of base elements to decompose into energy. This process is called mass rarefaction.
Tag_128|
Tag_128|Of course, this undertaking required extremely pure samples to properly craft rarefaction cells. Older mines on the<LINE>surface became abandoned once underground construction became much easier. Though, most nearby systems were connected<LINE>anyway, regardless of age or depth. Void Fluid isn't exactly easy to purify, or even properly contain.
Tag_128|
Tag_128|The pearl itself is simply a maintenance and production log for one of the forty-seven operating drill silos.

﻿0-129

Tag_129|I am sorry, strange friend. There isn't much left on any of these.
Tag_129|
Tag_129|A pearl can only take so much exposure to the environment before the data inside is burned<LINE>away. All that is left now is a pale white image. I can only make out single pieces of it.
Tag_129|
Tag_129|You could give these to the scavengers, however. Their fascination for shiny objects has<LINE>probably not changed! I'm sure these will find a better use in one of their collections.

﻿0-130

Tag_130|I am grateful - the relief is indescribable!
Tag_130|
Tag_130|...
Tag_130|
Tag_130|I could read a bit of Five Pebbles in this neuron before formatting it. I can understand your desire<LINE>to help, but please do not make his situation worse. He has been sick for a very long time. I am<LINE>unsure how much of him is even left now. Being eaten from within by his own experiments.
Tag_130|
Tag_130|I've felt anger in these before, but now they seem to be filled with fear and sadness.
Tag_130|
Tag_130|We were supposed to help everyone, you know. Everything. That was our purpose: a great gift to the lesser<LINE>beings of the world. When facing our inability to do so, we all reacted differently. Many with madness.
Tag_130|
Tag_130|Some, out there, might still be trying. Communications have been bad for a long time, and<LINE>by now I suspect most of us are isolated like me, or connected only in small groups.
Tag_130|
Tag_130|But even back when we were all more or less connected, there were those who reacted to their task with anger.<LINE>I can only imagine they are angrier now, alone in their cans, left only with their insatiable drive, like he is.
Tag_130|
Tag_130|I don't know how many of us are still alive at this point. By now I cannot imagine many of us desire to be.

﻿0-131

Tag_131|.  .  .
Tag_131|
Tag_131|Gluttonous beast, what brings you to my chamber? You are like no other messenger before you.<LINE>Perhaps I have underestimated the ability for your kind to communicate my existence?
Tag_131|
Tag_131|I may have been too rash in bestowing the mark of communication upon you. With the recent traffic through<LINE>my structure however, I would hesitate to believe that you will be my last encounter with your kind.
Tag_131|
Tag_131|I would prefer to discourage further visitations in the future. I have long since placed the outer perimeter of my<LINE>facility grounds into lock-down, and yet more and more creatures like you continue to manage to find a way inside.
Tag_131|
Tag_131|You have the same problem as everyone else, from the microbes in the processing strata to me, who is,<LINE>if you excuse me, godlike in comparison. We all want a way out. However, your particular...
Tag_131|
Tag_131|.  .  .
Tag_131|
Tag_131|rotundness,
Tag_131|
Tag_131|might well imply how little you seem to care. A simple animal ignorantly accepting its existence.
Tag_131|
Tag_131|I do not believe my intended purpose will be much help to you. I can<LINE>however encourage you and your kind to leave my facility grounds.
Tag_131|
Tag_131|Unfortunately, the same locks that were supposed to prevent creatures from getting in, will<LINE>now prevent you from getting out. Perhaps this strategy was ill conceived after all.
Tag_131|
Tag_131|Allow me to just...
Tag_131|
Tag_131|SPECEVENT : unlock
Tag_131|
Tag_131|Go west, through the underground tunnels at the outskirts of my territory.<LINE>You will find the gate to the world outside of it now unlocked.
Tag_131|
Tag_131|In return I ask that you encourage your community, through whatever method of communication you<LINE>choose to employ, to also go west. Off into the wastes below, far away from me and my work.
Tag_131|
Tag_131|Speaking of, on your way out please use the access shaft.

﻿0-132

Tag_132|This is old broadcast data from the local group. It has decayed too rapidly, and nothing is left. Sorry.
Tag_132|
Tag_132|I can only read some dates and the length of messages. The rest is gone.
Tag_132|
Tag_132|This was a broadcast node long ago. It is in read-only mode now. The last transmission recorded is "Hello? is anyone still reading me?"
Tag_132|
Tag_132|There is nothing left on it.
Tag_132|
Tag_132|Not much of this remains. It was never meant to be used for long term storage.
Tag_132|
Tag_132|Long ago there was a broadcasting network that allowed my kind to communicate over long distances. This is a relic of that.
Tag_132|
Tag_132|It's empty. That's a shame too. It would have been fun to read an old conversation.
Tag_132|
Tag_132|"Do you think the local group is going to hold out much longer? It's been impossible to get a message to Chasing Wind for several<LINE>cycles now. I hope they're alright." This was a broadcasting node long ago. Now it just holds a reminder of our isolation.
Tag_132|
Tag_132|The data on this has burned away with age.
Tag_132|
Tag_132|It's broadcast data, but most of it is corrupted. It may have tried to enter read-only mode at the same time as recording?
Tag_132|
Tag_132|This was a relay from long ago. I can only read the names here. They remind me of better times.
Tag_132|
Tag_132|"Transcendental Inversion! Transcendental Inversion! I keep telling you this, but it's clear that the influences of-," and it<LINE>cuts off after that. I have no clue what this conversation was about.
Tag_132|
Tag_132|This is a cached log of equipment manifests packaged for Five Pebbles. It has information about the status of<LINE>machinery stationed on the surface. I don't think he would have cared to read this anyway!
Tag_132|
Tag_132|It's blank. I can read some header information, but otherwise it's decayed.
Tag_132|
Tag_132|It's effectively blank.
Tag_132|
Tag_132|It's inventory from some surface stationed machinery. It contains a history of fault information and repair requests.
Tag_132|
Tag_132|It is an equipment manifest from some kind of pump. It has an extensive log of fluid pressures, but nothing that is too interesting.
Tag_132|
Tag_132|This is damaged. I can only read some names and dates.
Tag_132|
Tag_132|This is data for a purposed organism.
Tag_132|
Tag_132|It's an image of a small blue creature similar to yourself.
Tag_132|
Tag_132|It's a picture of scavengers with an excessive collection of pearls. It looks like someone was sharing pictures of the native<LINE>scavenger's odd behaviors over the broadcast network. I wonder why one scavenger would even need such a giant stash of pearls.
Tag_132|
Tag_132|It's an image of three overseers from different iterators, and I imagine a fourth took the picture. It was sent through a broadcast.<LINE>Possibly some kind of memento? It's not often that such a variety of overseers are together in one place, I wonder whose they are.
Tag_132|
Tag_132|This is a corrupted broadcast. I can't read anything except the header.
Tag_132|
